"community"	"day"	"label"	"techrep"	"exp"	"temp"	"hrs"
"R1"	0	"NS00001A"	"A"	"NS1"	"NA"	0
"R2"	0	"NS00002A"	"A"	"NS1"	"NA"	0
"R3"	0	"NS00003A"	"A"	"NS1"	"NA"	0
"R4"	0	"NS00004A"	"A"	"NS1"	"NA"	0
"R5"	0	"NS00005A"	"A"	"NS1"	"NA"	0
"R6"	0	"NS00006A"	"A"	"NS1"	"NA"	0
"R1"	1	"NS00013A"	"A"	"NS1"	"28"	24
"R2"	1	"NS00014A"	"A"	"NS1"	"28"	24
"R3"	1	"NS00015A"	"A"	"NS1"	"28"	24
"R4"	1	"NS00016A"	"A"	"NS1"	"28"	24
"R5"	1	"NS00017A"	"A"	"NS1"	"28"	24
"R6"	1	"NS00018A"	"A"	"NS1"	"28"	24
"R1"	1	"NS00019A"	"A"	"NS1"	"32"	24
"R2"	1	"NS00020A"	"A"	"NS1"	"32"	24
"R3"	1	"NS00021A"	"A"	"NS1"	"32"	24
"R4"	1	"NS00022A"	"A"	"NS1"	"32"	24
"R5"	1	"NS00023A"	"A"	"NS1"	"32"	24
"R6"	1	"NS00024A"	"A"	"NS1"	"32"	24
"R1"	2	"NS00025A"	"A"	"NS1"	"28"	48
"R2"	2	"NS00026A"	"A"	"NS1"	"28"	48
"R3"	2	"NS00027A"	"A"	"NS1"	"28"	48
"R4"	2	"NS00028A"	"A"	"NS1"	"28"	48
"R5"	2	"NS00029A"	"A"	"NS1"	"28"	48
"R6"	2	"NS00030A"	"A"	"NS1"	"28"	48
"R1"	2	"NS00031A"	"A"	"NS1"	"32"	48
"R2"	2	"NS00032A"	"A"	"NS1"	"32"	48
"R3"	2	"NS00033A"	"A"	"NS1"	"32"	48
"R4"	2	"NS00034A"	"A"	"NS1"	"32"	48
"R5"	2	"NS00035A"	"A"	"NS1"	"32"	48
"R6"	2	"NS00036A"	"A"	"NS1"	"32"	48
"R1"	3	"NS00037B"	"B"	"NS1"	"28"	72
"R2"	3	"NS00038B"	"B"	"NS1"	"28"	72
"R3"	3	"NS00039B"	"B"	"NS1"	"28"	72
"R4"	3	"NS00040B"	"B"	"NS1"	"28"	72
"R5"	3	"NS00041B"	"B"	"NS1"	"28"	72
"R6"	3	"NS00042B"	"B"	"NS1"	"28"	72
"R1"	3	"NS00043B"	"B"	"NS1"	"32"	72
"R2"	3	"NS00044B"	"B"	"NS1"	"32"	72
"R3"	3	"NS00045B"	"B"	"NS1"	"32"	72
"R4"	3	"NS00046B"	"B"	"NS1"	"32"	72
"R5"	3	"NS00047B"	"B"	"NS1"	"32"	72
"R6"	3	"NS00048B"	"B"	"NS1"	"32"	72
"R7"	0	"NS00049A"	"A"	"NS2"	"NA"	0
"R8"	0	"NS00050A"	"A"	"NS2"	"NA"	0
"R9"	0	"NS00051A"	"A"	"NS2"	"NA"	0
"R10"	0	"NS00052A"	"A"	"NS2"	"NA"	0
"R11"	0	"NS00053A"	"A"	"NS2"	"NA"	0
"R12"	0	"NS00054A"	"A"	"NS2"	"NA"	0
"R7"	1	"NS00055A"	"A"	"NS2"	"28"	24
"R8"	1	"NS00056A"	"A"	"NS2"	"28"	24
"R9"	1	"NS00057A"	"A"	"NS2"	"28"	24
"R10"	1	"NS00058A"	"A"	"NS2"	"28"	24
"R11"	1	"NS00059A"	"A"	"NS2"	"28"	24
"R12"	1	"NS00060A"	"A"	"NS2"	"28"	24
"R7"	1	"NS00061A"	"A"	"NS2"	"32"	24
"R8"	1	"NS00062A"	"A"	"NS2"	"32"	24
"R9"	1	"NS00063A"	"A"	"NS2"	"32"	24
"R10"	1	"NS00064A"	"A"	"NS2"	"32"	24
"R11"	1	"NS00065A"	"A"	"NS2"	"32"	24
"R12"	1	"NS00066A"	"A"	"NS2"	"32"	24
"R7"	2	"NS00067A"	"A"	"NS2"	"28"	48
"R8"	2	"NS00068A"	"A"	"NS2"	"28"	48
"R9"	2	"NS00069A"	"A"	"NS2"	"28"	48
"R10"	2	"NS00070A"	"A"	"NS2"	"28"	48
"R7"	2	"NS00073A"	"A"	"NS2"	"32"	48
"R8"	2	"NS00074A"	"A"	"NS2"	"32"	48
"R9"	2	"NS00075A"	"A"	"NS2"	"32"	48
"R10"	2	"NS00076A"	"A"	"NS2"	"32"	48
"R11"	2	"NS00077A"	"A"	"NS2"	"32"	48
"R8"	3	"NS00080B"	"B"	"NS2"	"28"	72
"R9"	3	"NS00081B"	"B"	"NS2"	"28"	72
"R10"	3	"NS00082B"	"B"	"NS2"	"28"	72
"R7"	3	"NS00085B"	"B"	"NS2"	"32"	72
"R8"	3	"NS00086B"	"B"	"NS2"	"32"	72
"R10"	3	"NS00088B"	"B"	"NS2"	"32"	72
"R1"	0	"NS00091A"	"A"	"NS3"	"NA"	0
"R2"	0	"NS00092A"	"A"	"NS3"	"NA"	0
"R3"	0	"NS00093A"	"A"	"NS3"	"NA"	0
"R4"	0	"NS00094A"	"A"	"NS3"	"NA"	0
"R5"	0	"NS00095A"	"A"	"NS3"	"NA"	0
"R6"	0	"NS00096A"	"A"	"NS3"	"NA"	0
"R1"	1	"NS00097A"	"A"	"NS3"	"28"	24
"R2"	1	"NS00098A"	"A"	"NS3"	"28"	24
"R3"	1	"NS00099A"	"A"	"NS3"	"28"	24
"R5"	1	"NS00101A"	"A"	"NS3"	"28"	24
"R6"	1	"NS00102A"	"A"	"NS3"	"28"	24
"R1"	1	"NS00103A"	"A"	"NS3"	"32"	24
"R2"	1	"NS00104A"	"A"	"NS3"	"32"	24
